Text#,Title,Authors,Genres
1,The Declaration of Independence of the United States of America,"['Jefferson, Thomas']","['United States', 'History', 'Revolution, 1775-1783', 'Sources', 'United States. Declaration of Independence', 'Politics', 'American Revolutionary War', 'United States Law', 'History - American', 'History - Warfare']"
2,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",['United States'],"['Civil rights', 'United States', 'Sources', 'United States. Constitution. 1st-10th Amendments', 'Politics', 'American Revolutionary War', 'United States Law', 'History - American', 'Law & Criminology', 'Politics']"
3,John F. Kennedy's Inaugural Address,"['Kennedy, John F. (John Fitzgerald)']","['United States', 'Foreign relations', '1961-1963', 'Presidents', 'United States', 'Inaugural addresses', 'History - American', 'Politics']"
4,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","['Lincoln, Abraham']","['Consecration of cemeteries', 'Pennsylvania', 'Gettysburg', ""Soldiers' National Cemetery (Gettysburg, Pa.)"", 'Lincoln, Abraham, 1809-1865. Gettysburg address', 'US Civil War', 'History - American', 'Politics']"
5,The United States Constitution,['United States'],"['United States', 'Politics and government', '1783-1789', 'Sources', 'United States. Constitution', 'United States', 'Politics', 'American Revolutionary War', 'United States Law', 'History - American']"
6,Give Me Liberty or Give Me Death,"['Henry, Patrick']","['Speeches, addresses, etc., American', 'United States', 'Politics and government', '1775-1783', 'Sources', 'Virginia', 'Politics and government', '1775-1783', 'Sources', 'American Revolutionary War']"
7,The Mayflower Compact,[],"['Massachusetts', 'History', 'New Plymouth, 1620-1691', 'Sources', 'Pilgrims (New Plymouth Colony)', 'Mayflower Compact (1620)', 'History - American']"
8,Abraham Lincoln's Second Inaugural Address,"['Lincoln, Abraham']","['United States', 'Politics and government', '1861-1865', 'Presidents', 'United States', 'Inaugural addresses', 'US Civil War', 'History - American', 'Politics']"
9,Abraham Lincoln's First Inaugural Address,"['Lincoln, Abraham']","['United States', 'Politics and government', '1861-1865', 'Presidents', 'United States', 'Inaugural addresses', 'US Civil War', 'History - American', 'Politics']"
10,The King James Version of the Bible,[],"['Bible', 'Banned Books List from the American Library Association', 'History - Religious', 'Religion/Spirituality/Paranormal']"
11,Alice's Adventures in Wonderland,"['Carroll, Lewis']","['Fantasy fiction', ""Children's stories"", 'Imaginary places', 'Juvenile fiction', 'Alice (Fictitious character from Carroll)', 'Juvenile fiction', ""Children's Literature"", 'Children & Young Adult Reading', 'Fiction']"
12,Through the Looking-Glass,"['Carroll, Lewis']","['Fantasy fiction', ""Children's stories"", 'Imaginary places', 'Juvenile fiction', 'Alice (Fictitious character from Carroll)', 'Juvenile fiction', ""Children's Literature"", 'Best Books Ever Listings', 'Children & Young Adult Reading', 'Literature']"
13,The Hunting of the Snark: An Agony in Eight Fits,"['Carroll, Lewis']","['Nonsense verses, English', ""Children's Literature"", 'Children & Young Adult Reading', 'Literature']"
14,The 1990 CIA World Factbook,['United States. Central Intelligence Agency'],"['World politics', 'Handbooks, manuals, etc.', 'Geography', 'Handbooks, manuals, etc.', 'Political science', 'Handbooks, manuals, etc.', 'Political statistics', 'Handbooks, manuals, etc.', 'CIA World Factbooks', 'Encyclopedias/Dictionaries/Reference']"
15,"Moby-Dick; or, The Whale","['Melville, Herman']","['Whaling', 'Fiction', 'Sea stories', 'Psychological fiction', 'Ship captains', 'Fiction', 'Adventure stories', 'Mentally ill', 'Fiction', 'Ahab, Captain (Fictitious character)']"
16,Peter Pan,"['Barrie, J. M. (James Matthew)']","['Fantasy literature', 'Peter Pan (Fictitious character)', 'Fiction', 'Never-Never Land (Imaginary place)', 'Fiction', 'Pirates', 'Fiction', 'Fairies', 'Fiction', ""Children's Literature""]"
17,The Book of Mormon,"['Church of Jesus Christ of Latter-day Saints', 'Smith, Joseph, Jr.']","['Church of Jesus Christ of Latter-day Saints', 'Sacred books', 'Latter Day Saint churches', 'Sacred books', 'Christianity', 'Latter Day Saints', 'Philosophy & Ethics', 'Religion/Spirituality/Paranormal']"
18,The Federalist Papers,"['Hamilton, Alexander', 'Jay, John', 'Madison, James']","['Constitutional history', 'United States', 'Sources', 'Constitutional law', 'United States', 'Politics', 'History - American', 'Politics']"
19,The Song of Hiawatha,"['Morris, Woodrow W. [Editor]', 'Longfellow, Henry Wadsworth']","['Indians of North America', 'Poetry', 'Hiawatha, active 15th century', 'Poetry', 'Iroquois Indians', 'Kings and rulers', 'Poetry', ""Children's Literature"", 'Poetry', 'Native America']"
20,Paradise Lost,"['Milton, John']","['Fall of man', 'Poetry', 'Adam (Biblical figure)', 'Poetry', 'Eve (Biblical figure)', 'Poetry', 'Bible. Genesis', 'History of Biblical events', 'Poetry', 'Poetry']"
21,"Aesop's Fables
Translated by George Fyler Townsend","['Townsend, George Fyler [Translator]', 'Aesop, 621? BCE-565? BCE']","['Fables, Greek', 'Translations into English', ""Aesop's fables"", 'Translations into English', 'Culture/Civilization/Society', 'Literature']"
22,Roget's Thesaurus,"['Roget, Peter Mark']","['English language', 'Synonyms and antonyms', 'Reference', 'Encyclopedias/Dictionaries/Reference', 'Language & Communication', 'Literature']"
23,"Narrative of the Life of Frederick Douglass, an American Slave","['Douglass, Frederick']","['Douglass, Frederick, 1818-1895', 'African American abolitionists', 'Biography', 'Abolitionists', 'United States', 'Biography', 'Enslaved persons', 'United States', 'Biography', 'Slavery']"
24,O Pioneers!,"['Cather, Willa']","['Nebraska', 'Fiction', 'Historical fiction', 'Frontier and pioneer life', 'Nebraska', 'Fiction', 'Domestic fiction', 'Siblings', 'Fiction', 'Farm life']"
25,The 1991 CIA World Factbook,['United States. Central Intelligence Agency'],"['World politics', 'Handbooks, manuals, etc.', 'Geography', 'Handbooks, manuals, etc.', 'Political science', 'Handbooks, manuals, etc.', 'Political statistics', 'Handbooks, manuals, etc.', 'CIA World Factbooks', 'Encyclopedias/Dictionaries/Reference']"
26,Paradise Lost,"['Milton, John']","['Fall of man', 'Poetry', 'Adam (Biblical figure)', 'Poetry', 'Eve (Biblical figure)', 'Poetry', 'Bible. Genesis', 'History of Biblical events', 'Poetry', 'Literature']"
27,Far from the Madding Crowd,"['Hardy, Thomas']","['Didactic fiction', 'Love stories', 'Triangles (Interpersonal relations)', 'Fiction', 'Pastoral fiction', 'Farm life', 'Fiction', 'Women farmers', 'Fiction', 'Wessex (England)']"
28,"The Fables of Aesop
Selected, Told Anew, and Their History Traced","['Jacobs, Joseph [Editor]', 'Aesop, 621? BCE-565? BCE']","[""Aesop's fables"", 'Adaptations', 'Fables, Greek', 'Adaptations', 'Harvard Classics', 'Culture/Civilization/Society', 'Literature']"
29,The 1990 United States Census,['United States. Bureau of the Census'],"['United States', 'Population', 'Statistics', 'United States', 'Census', 'Housing', 'United States', 'Statistics', 'Encyclopedias/Dictionaries/Reference', 'History - American']"
30,"The Bible, King James Version, Complete",[],"['Bible', 'Philosophy & Ethics', 'Religion/Spirituality/Paranormal']"
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,"['Storr, Francis [Translator]', 'Sophocles, 496? BCE-407 BCE']","['Tragedies (Drama)', 'Antigone (Mythological character)', 'Drama', 'Oedipus (Greek mythological figure)', 'Drama', 'Greek drama (Tragedy)', 'Translations into English', 'Plays', 'Best Books Ever Listings', 'Harvard Classics']"
32,Herland,"['Gilman, Charlotte Perkins']","['Utopias', 'Fiction', 'Women', 'Fiction', 'Utopian fiction', 'Black humor', 'Best Books Ever Listings', 'Culture/Civilization/Society', 'Gender & Sexuality Studies', 'Literature']"
33,The Scarlet Letter,"['Hawthorne, Nathaniel']","['Adultery', 'Fiction', 'Historical fiction', 'Revenge', 'Fiction', 'Psychological fiction', 'Married women', 'Fiction', 'Clergy', 'Fiction']"
34,Zen and the Art of the Internet,"['Kehoe, Brendan P.']","['Internet', 'Computer networks', 'Information networks', 'Information retrieval', 'Computers & Technology']"
35,The Time Machine,"['Wells, H. G. (Herbert George)']","['Science fiction', 'Time travel', 'Fiction', 'Dystopias', 'Fiction', 'Science Fiction', 'Movie Books', 'Literature', 'Science-Fiction & Fantasy', 'Fiction']"
36,The War of the Worlds,"['Wells, H. G. (Herbert George)']","['Science fiction', 'War stories', 'Martians', 'Fiction', 'Mars (Planet)', 'Fiction', 'Space warfare', 'Fiction', 'Imaginary wars and battles', 'Fiction']"
37,The 1990 United States Census [2nd],['United States. Bureau of the Census'],"['United States', 'Population', 'Statistics', 'United States', 'Census', 'Housing', 'United States', 'Statistics', 'Encyclopedias/Dictionaries/Reference', 'History - American']"
