id,artist_name,track_name,release_date,genre
0,mukesh,mohabbat bhi jhoothi,1950,pop
4,frankie laine,i believe,1950,pop
6,johnnie ray,cry,1950,pop
10,pérez prado,patricia,1950,pop
12,giorgos papadopoulos,apopse eida oneiro,1950,pop
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop
15,freestyle,opm medley: when i met you,1950,pop
17,johnny mathis,it's not for me to say,1950,pop
20,stélios kazantzídis,klapse me mana klapse me,1950,pop
23,stélios kazantzídis,finito la mouzika,1950,pop
28,liva weel,"drømmer man om den, vågner..",1951,pop
32,the chordettes,carolina moon,1951,pop
33,frankie laine,necessary evil,1951,pop
34,ghantasala,kanugona galano,1951,pop
36,les paul,the carioca,1951,pop
37,les paul,chicken reel,1951,pop
40,les paul,blue skies,1951,pop
44,les paul,dark eyes,1951,pop
53,asha bhosle,kotha mukunda,1952,pop
54,asha bhosle,awaz deta hai sola ka din,1952,pop
56,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop
57,ghantasala,avanee nee pathi,1952,pop
58,ghantasala,ee jagamantha natika,1952,pop
62,les paul,smoke rings,1952,pop
64,mukesh,hum tujhse mohabbat kar ke,1952,pop
65,lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop
66,lata mangeshkar,main na janoon,1952,pop
68,asha bhosle,gullyachi shapath,1952,pop
70,lata mangeshkar,judai ki khabar hoti agar,1952,pop
73,lata mangeshkar,maagata maagata janm gele,1953,pop
74,lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop
75,asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop
77,asha bhosle,tu bol na bol,1953,pop
80,mukesh,raat andheri door savera,1953,pop
84,ghantasala,thunintha pin,1953,pop
86,les paul,i'm sitting on top of the world,1953,pop
90,les paul,the world is waiting for the sunrise,1953,pop
99,t. m. soundararajan,ethanai periya,1953,pop
100,talat mahmood,ansoo to nahin hai ankhon men,1953,pop
101,andy williams,it's the most wonderful time of the year,1953,pop
102,lata mangeshkar,chandan ka palna resham ko dori,1954,pop
106,lata mangeshkar,le chal ri nindiya le chal hamen,1954,pop
110,frankie laine,after you've gone,1954,pop
115,asha bhosle,mere hamsafar tujhe kya khabar,1954,pop
118,sven-bertil taube,viljen i veta (would you like to know?),1954,pop
125,bobby vinton,blue velvet,1954,pop
126,los hermanos arriagada,poema,1954,pop
127,the drifters,the bells of st. mary's,1954,pop
128,the chordettes,for me and my gal,1954,pop
130,harry belafonte,mark twain,1954,pop
133,harry belafonte,the next big river,1954,pop
135,lata mangeshkar,sitaron ki mehfil saji,1954,pop
138,a. m. rajah,gopiparivrito,1954,pop
140,jonah jones,you're the cream in my coffee,1954,pop
148,lata mangeshkar,kabhi khamosh rahte hain,1955,pop
149,mohammed rafi,khanke to khanke,1955,pop
161,johnnie ray,here am i,1955,pop
164,les paul,brazil,1955,pop
167,les paul,"baby, won't you please come home",1955,pop
168,frankie laine,jezebel,1955,pop
169,bill haley & his comets,two hound dogs,1955,pop
181,les paul,sleep,1955,pop
183,lata mangeshkar,mera dil yeh pukare aaja,1955,pop
185,ted heath,to you my love,1955,pop
191,ted heath,believe in me,1956,pop
192,ted heath,take the “a” train,1956,pop
199,lata mangeshkar,pahuni raghunandan savala,1956,pop
201,bill haley & his comets,come rock with me,1956,pop
202,lata mangeshkar,antar mantar jantar,1956,pop
204,lata mangeshkar,kahan se yeh sholon ka toofan aaya,1956,pop
206,the platters,temptation,1956,pop
210,harry belafonte,unchained melody,1956,pop
217,the platters,on my word of honor,1956,pop
219,pete yorn,just my imagination (running away with me),1956,pop
221,the clovers,don't you know i love you,1956,pop
224,johnny mathis,"love, your magic spell is everywhere",1956,pop
229,the platters,heart of stone,1956,pop
235,the platters,have mercy,1956,pop
239,the platters,you've changed,1956,pop
244,harry belafonte,i do adore her,1956,pop
245,jerry vale,"ciao, ciao, bambina",1956,pop
246,jerry vale,non dimenticar,1956,pop
248,jerry vale,al di la,1956,pop
249,harry belafonte,matilda,1956,pop
250,the clovers,devil or angel,1956,pop
258,harry belafonte,hosanna,1956,pop
259,jerry vale,volare (nel blu dipinto di blu),1956,pop
261,the platters,why should i,1956,pop
262,johnny mathis,in other words (fly me to the moon),1956,pop
263,lavern baker,i'll never be free,1956,pop
265,the platters,remember when,1956,pop
268,the clovers,love love love,1956,pop
270,johnny mathis,it might as well be spring,1956,pop
271,the platters,at your beck and call,1956,pop
273,the platters,september in the rain,1956,pop
274,the platters,i give you my word,1956,pop
275,jerry vale,more,1956,pop
276,jerry vale,summertime in venice,1956,pop
283,the clovers,here goes a fool,1956,pop
284,t. m. soundararajan,chinna kelbyaadve nanna ppuraana,1956,pop
286,frankie laine,remember me (the girl in the wood),1956,pop
290,groovie ghoulies,blood beach,1957,pop
306,ricky nelson,am i blue?,1957,pop
307,harry belafonte,don't ever love me,1957,pop
308,harry belafonte,angelique-o,1957,pop
311,ricky nelson,true love,1957,pop
315,johnny mathis,by myself,1957,pop
317,johnny mathis,warm,1957,pop
318,lata mangeshkar,panchhi banoon udti phiroon,1957,pop
319,billy vaughn,miss you,1957,pop
320,eddie cochran,one kiss,1957,pop
321,johnny mathis,i'm glad there is you,1957,pop
322,johnny mathis,"baby, baby, baby",1957,pop
325,eddie cochran,undying love,1957,pop
326,ricky nelson,your true love,1957,pop
327,harry belafonte,cu cu ru cu cu paloma,1957,pop
329,harry belafonte,cordelia brown,1957,pop
330,andy williams,dear heart,1957,pop
331,eddie cochran,completely sweet,1957,pop
334,eddie cochran,sittin' in the balcony,1957,pop
335,andy williams,a time for us,1957,pop
337,the chordettes,soft sands,1957,pop
341,andy williams,(where do i begin) love story,1957,pop
343,andy williams,canadian sunset,1957,pop
346,jimmie rodgers,kisses sweeter than wine,1957,pop
348,the chordettes,eddie my love,1957,pop
350,the chordettes,come home to my arms,1957,pop
351,the chordettes,love never changes,1957,pop
352,mohammed rafi,tumsa nahin dekha,1957,pop
356,lavern baker,i can't love you enough,1957,pop
357,ghantasala,choopula kalasina subhavela,1957,pop
359,eddie cochran,i'm alone because i love you,1957,pop
360,johnny mathis,i've grown accustomed to her face,1957,pop
367,andy williams,speak softly love,1957,pop
368,the chordettes,teen age goodnight,1957,pop
370,harry belafonte,"love, love alone",1957,pop
373,the keynotes,now i know,1957,pop
374,the keynotes,tell me you love me,1957,pop
376,lavern baker,still,1957,pop
377,the keynotes,i don't know,1957,pop
378,pradeep kumar,suno sunaoon tumhen ek kahani,1957,pop
384,norrie paramor,i'll see you in my dreams,1957,pop
387,les paul,"i surrender, dear",1957,pop
388,esquivel!,titulos principio,1957,pop
390,the platters,in the middle of nowhere,1957,pop
394,the platters,you are too beautiful,1957,pop
396,lavern baker,that's all i need,1957,pop
397,ghantasala,aagaya veedhiyil,1958,pop
