Title,Authors,ISBN,Pages
The Declaration of Independence of the United States of America,"['Jefferson, Thomas']",,
"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",['United States'],,
John F. Kennedy's Inaugural Address,"['Kennedy, John F. (John Fitzgerald)']",,
"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA","['Lincoln, Abraham']",,
The United States Constitution,['United States'],,
Give Me Liberty or Give Me Death,"['Henry, Patrick']",,
The Mayflower Compact,[],,
Abraham Lincoln's Second Inaugural Address,"['Lincoln, Abraham']",,
Abraham Lincoln's First Inaugural Address,"['Lincoln, Abraham']",,
The King James Version of the Bible,[],,
Alice's Adventures in Wonderland,"['Carroll, Lewis']",,
Through the Looking-Glass,"['Carroll, Lewis']",,
The Hunting of the Snark: An Agony in Eight Fits,"['Carroll, Lewis']",,
The 1990 CIA World Factbook,['United States. Central Intelligence Agency'],,
"Moby-Dick; or, The Whale","['Melville, Herman']",,
Peter Pan,"['Barrie, J. M. (James Matthew)']",,
The Book of Mormon,"['Church of Jesus Christ of Latter-day Saints', 'Smith, Joseph, Jr.']",,
The Federalist Papers,"['Hamilton, Alexander', 'Jay, John', 'Madison, James']",,
The Song of Hiawatha,"['Morris, Woodrow W. [Editor]', 'Longfellow, Henry Wadsworth']",,
Paradise Lost,"['Milton, John']",,
"Aesop's Fables
Translated by George Fyler Townsend","['Townsend, George Fyler [Translator]', 'Aesop, 621? BCE-565? BCE']",,
Roget's Thesaurus,"['Roget, Peter Mark']",,
"Narrative of the Life of Frederick Douglass, an American Slave","['Douglass, Frederick']",,
O Pioneers!,"['Cather, Willa']",,
The 1991 CIA World Factbook,['United States. Central Intelligence Agency'],,
Paradise Lost,"['Milton, John']",,
Far from the Madding Crowd,"['Hardy, Thomas']",,
"The Fables of Aesop
Selected, Told Anew, and Their History Traced","['Jacobs, Joseph [Editor]', 'Aesop, 621? BCE-565? BCE']",,
The 1990 United States Census,['United States. Bureau of the Census'],,
"The Bible, King James Version, Complete",[],,
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,"['Storr, Francis [Translator]', 'Sophocles, 496? BCE-407 BCE']",,
Herland,"['Gilman, Charlotte Perkins']",,
The Scarlet Letter,"['Hawthorne, Nathaniel']",,
Zen and the Art of the Internet,"['Kehoe, Brendan P.']",,
The Time Machine,"['Wells, H. G. (Herbert George)']",,
The War of the Worlds,"['Wells, H. G. (Herbert George)']",,
The 1990 United States Census [2nd],['United States. Bureau of the Census'],,
"The Jargon File, Version 2.9.10, 01 Jul 1992","['Steele, Guy L. [Editor]', 'Raymond, Eric S. [Editor]']",,
Hitchhiker's Guide to the Internet,"['Krol, Ed']",,
NorthWestNet User Services Internet Resource Guide (NUSIRG),"['Kochmer, Jonathan']",,
The Legend of Sleepy Hollow,"['Irving, Washington']",,
The Strange Case of Dr. Jekyll and Mr. Hyde,"['Stevenson, Robert Louis']",,
The Strange Case of Dr. Jekyll and Mr. Hyde,"['Stevenson, Robert Louis']",,
The Song of the Lark,"['Cather, Willa']",,
Anne of Green Gables,"['Montgomery, L. M. (Lucy Maud)']",,
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"['Dickens, Charles', 'Leech, John [Illustrator]']",,
Anne of Avonlea,"['Montgomery, L. M. (Lucy Maud)']",,
The 1992 CIA World Factbook,['United States. Central Intelligence Agency'],,
"Surfing the Internet: An Introduction
Version 2.0.2","['Polly, Jean Armour']",,
Pi,"['Hemphill, Scott']",,
Anne of the Island,"['Montgomery, L. M. (Lucy Maud)']",,
The Square Root of 2,"['Kerr, Stan']",,
"Workshop on Electronic Texts: Proceedings, 9-10 June 1992","['Library of Congress', 'Daly, James [Editor]']",,
The Marvelous Land of Oz,"['Baum, L. Frank (Lyman Frank)', 'Neill, John R. (John Rea) [Illustrator]']",,
The Wonderful Wizard of Oz,"['Baum, L. Frank (Lyman Frank)']",,
